{'epoch': 0, 'train_loss': 4.166700341796875, 'train_acc': 0.062975, 'valid_loss': 3.78482391204834, 'valid_acc': 0.1106}
{'epoch': 1, 'train_loss': 3.6119853523254393, 'train_acc': 0.1361, 'valid_loss': 3.459523491668701, 'valid_acc': 0.15990000000000001}
{'epoch': 2, 'train_loss': 3.341089252471924, 'train_acc': 0.182175, 'valid_loss': 3.188592781829834, 'valid_acc': 0.20450000000000002}
{'epoch': 3, 'train_loss': 3.1290412284851072, 'train_acc': 0.21855000000000002, 'valid_loss': 2.968607693862915, 'valid_acc': 0.25620000000000004}
{'epoch': 4, 'train_loss': 2.912093730163574, 'train_acc': 0.258675, 'valid_loss': 2.9177499984741213, 'valid_acc': 0.266}
{'epoch': 5, 'train_loss': 2.723020306396484, 'train_acc': 0.294875, 'valid_loss': 2.6714986446380613, 'valid_acc': 0.3098}
{'epoch': 6, 'train_loss': 2.560890919494629, 'train_acc': 0.32755, 'valid_loss': 2.5369778789520265, 'valid_acc': 0.3351}
{'epoch': 7, 'train_loss': 2.410994920730591, 'train_acc': 0.35710000000000003, 'valid_loss': 2.447973028564453, 'valid_acc': 0.35850000000000004}
{'epoch': 8, 'train_loss': 2.288752815628052, 'train_acc': 0.3829, 'valid_loss': 2.387091470146179, 'valid_acc': 0.37470000000000003}
{'epoch': 9, 'train_loss': 2.1683058010101317, 'train_acc': 0.40890000000000004, 'valid_loss': 2.2810790531158447, 'valid_acc': 0.3982}
{'epoch': 10, 'train_loss': 2.082678787612915, 'train_acc': 0.43115000000000003, 'valid_loss': 2.221980344390869, 'valid_acc': 0.41090000000000004}
{'epoch': 11, 'train_loss': 1.9738723030090333, 'train_acc': 0.45375000000000004, 'valid_loss': 2.1387719680786135, 'valid_acc': 0.4403}
{'epoch': 12, 'train_loss': 1.8864418064117432, 'train_acc': 0.47145000000000004, 'valid_loss': 2.0692449769973753, 'valid_acc': 0.44720000000000004}
{'epoch': 13, 'train_loss': 1.8088817501068115, 'train_acc': 0.49115000000000003, 'valid_loss': 2.1028563327789307, 'valid_acc': 0.442}
{'epoch': 14, 'train_loss': 1.7322893768310548, 'train_acc': 0.51065, 'valid_loss': 2.0511574182510377, 'valid_acc': 0.4591}
{'epoch': 15, 'train_loss': 1.6697279258728028, 'train_acc': 0.5209750000000001, 'valid_loss': 2.0836852481842043, 'valid_acc': 0.4627}
{'epoch': 16, 'train_loss': 1.6052077754974365, 'train_acc': 0.53935, 'valid_loss': 1.938497439956665, 'valid_acc': 0.48250000000000004}
{'epoch': 17, 'train_loss': 1.5454646141052246, 'train_acc': 0.555, 'valid_loss': 1.958527858543396, 'valid_acc': 0.4853}
{'epoch': 18, 'train_loss': 1.4825752799987792, 'train_acc': 0.5709500000000001, 'valid_loss': 1.917419723701477, 'valid_acc': 0.4892}
{'epoch': 19, 'train_loss': 1.4300018932342529, 'train_acc': 0.58335, 'valid_loss': 1.868229846763611, 'valid_acc': 0.5027}
{'epoch': 20, 'train_loss': 1.3786724975585938, 'train_acc': 0.596275, 'valid_loss': 1.893415728187561, 'valid_acc': 0.497}
{'epoch': 21, 'train_loss': 1.3313512454986571, 'train_acc': 0.6066750000000001, 'valid_loss': 1.8941686141967773, 'valid_acc': 0.5035000000000001}
{'epoch': 22, 'train_loss': 1.2777491914749146, 'train_acc': 0.620275, 'valid_loss': 1.848707034111023, 'valid_acc': 0.5144000000000001}
{'epoch': 23, 'train_loss': 1.22080451335907, 'train_acc': 0.632125, 'valid_loss': 1.9077762599945067, 'valid_acc': 0.5096}
{'epoch': 24, 'train_loss': 1.1843451345443725, 'train_acc': 0.6456000000000001, 'valid_loss': 1.8155263668060302, 'valid_acc': 0.5283}
{'epoch': 25, 'train_loss': 1.1483639514923096, 'train_acc': 0.655775, 'valid_loss': 1.9446261240005493, 'valid_acc': 0.5069}
{'epoch': 26, 'train_loss': 1.0837571407318116, 'train_acc': 0.6701, 'valid_loss': 1.8600515306472778, 'valid_acc': 0.5233}
{'epoch': 27, 'train_loss': 1.0517067659378052, 'train_acc': 0.67695, 'valid_loss': 1.9764692590713502, 'valid_acc': 0.5051}
{'epoch': 28, 'train_loss': 1.034527094078064, 'train_acc': 0.6833250000000001, 'valid_loss': 1.946435719871521, 'valid_acc': 0.5114000000000001}
{'epoch': 29, 'train_loss': 0.9867657001495361, 'train_acc': 0.6992, 'valid_loss': 1.8893650785446168, 'valid_acc': 0.5272}
{'epoch': 30, 'train_loss': 0.9500991302490235, 'train_acc': 0.7034750000000001, 'valid_loss': 1.9720742590904237, 'valid_acc': 0.5119}
{'epoch': 31, 'train_loss': 0.9237988828659057, 'train_acc': 0.7129500000000001, 'valid_loss': 1.8738797395706177, 'valid_acc': 0.5319}
{'epoch': 32, 'train_loss': 0.8954839887619018, 'train_acc': 0.7220000000000001, 'valid_loss': 1.9592603008270264, 'valid_acc': 0.5179}
{'epoch': 33, 'train_loss': 0.8492697179794312, 'train_acc': 0.7343000000000001, 'valid_loss': 1.9081098754882813, 'valid_acc': 0.5316000000000001}
{'epoch': 34, 'train_loss': 0.8289767889022828, 'train_acc': 0.738375, 'valid_loss': 1.9552100561141967, 'valid_acc': 0.525}
{'epoch': 35, 'train_loss': 0.7900884434700012, 'train_acc': 0.7495, 'valid_loss': 1.9974755037307739, 'valid_acc': 0.5275000000000001}
{'epoch': 36, 'train_loss': 0.763028239440918, 'train_acc': 0.758625, 'valid_loss': 1.9270029129981994, 'valid_acc': 0.5354}
{'epoch': 37, 'train_loss': 0.7264130493164063, 'train_acc': 0.767, 'valid_loss': 1.96834296169281, 'valid_acc': 0.539}
{'epoch': 38, 'train_loss': 0.7100620661735535, 'train_acc': 0.773775, 'valid_loss': 1.9565061576843261, 'valid_acc': 0.5352}
{'epoch': 39, 'train_loss': 0.6675682364463806, 'train_acc': 0.78735, 'valid_loss': 2.0042868196487427, 'valid_acc': 0.5371}
{'epoch': 40, 'train_loss': 0.6337006615638733, 'train_acc': 0.795825, 'valid_loss': 2.0768607847213745, 'valid_acc': 0.5293}
{'epoch': 41, 'train_loss': 0.6273084473609924, 'train_acc': 0.7976000000000001, 'valid_loss': 2.0151747749328615, 'valid_acc': 0.5355}
{'epoch': 42, 'train_loss': 0.6032415185928345, 'train_acc': 0.8043, 'valid_loss': 2.007822108078003, 'valid_acc': 0.5424}
{'epoch': 43, 'train_loss': 0.5697778478622436, 'train_acc': 0.815025, 'valid_loss': 2.082579054260254, 'valid_acc': 0.534}
{'epoch': 44, 'train_loss': 0.5580427310943603, 'train_acc': 0.818975, 'valid_loss': 2.0718325740814207, 'valid_acc': 0.5435}
{'epoch': 45, 'train_loss': 0.5313580369949341, 'train_acc': 0.8264, 'valid_loss': 2.1009146018981935, 'valid_acc': 0.538}
{'epoch': 46, 'train_loss': 0.5002625215530395, 'train_acc': 0.836275, 'valid_loss': 2.1065989347457887, 'valid_acc': 0.5423}
{'epoch': 47, 'train_loss': 0.4948222556114197, 'train_acc': 0.83745, 'valid_loss': 2.1690065097808837, 'valid_acc': 0.5393}
{'epoch': 48, 'train_loss': 0.4759642220497131, 'train_acc': 0.84375, 'valid_loss': 2.1695182641983033, 'valid_acc': 0.5384}
{'epoch': 49, 'train_loss': 0.46015474967956543, 'train_acc': 0.849125, 'valid_loss': 2.1968823692321777, 'valid_acc': 0.539}
{'epoch': 50, 'train_loss': 0.4353436770439148, 'train_acc': 0.857425, 'valid_loss': 2.2664045141220095, 'valid_acc': 0.528}
{'epoch': 51, 'train_loss': 0.42690173716545105, 'train_acc': 0.8608, 'valid_loss': 2.1874944320678713, 'valid_acc': 0.5422}
{'epoch': 52, 'train_loss': 0.41968507862091065, 'train_acc': 0.8626750000000001, 'valid_loss': 2.2076657775878905, 'valid_acc': 0.5413}
{'epoch': 53, 'train_loss': 0.4075193540096283, 'train_acc': 0.866325, 'valid_loss': 2.183487742805481, 'valid_acc': 0.5441}
{'epoch': 54, 'train_loss': 0.37493168492317197, 'train_acc': 0.8749750000000001, 'valid_loss': 2.2011896881103516, 'valid_acc': 0.5461}
{'epoch': 55, 'train_loss': 0.3701626476764679, 'train_acc': 0.877575, 'valid_loss': 2.2207625705718996, 'valid_acc': 0.5408000000000001}
{'epoch': 56, 'train_loss': 0.3534090603351593, 'train_acc': 0.8833500000000001, 'valid_loss': 2.21599144821167, 'valid_acc': 0.5473}
{'epoch': 57, 'train_loss': 0.3410760342121124, 'train_acc': 0.8862500000000001, 'valid_loss': 2.2167497234344484, 'valid_acc': 0.5422}
{'epoch': 58, 'train_loss': 0.3373428419589996, 'train_acc': 0.888375, 'valid_loss': 2.2506002519607544, 'valid_acc': 0.5434}
{'epoch': 59, 'train_loss': 0.3205513603925705, 'train_acc': 0.8950750000000001, 'valid_loss': 2.2730118741989136, 'valid_acc': 0.5439}
{'epoch': 60, 'train_loss': 0.31245857992172243, 'train_acc': 0.898225, 'valid_loss': 2.265083787727356, 'valid_acc': 0.5458000000000001}
{'epoch': 61, 'train_loss': 0.3052343887805939, 'train_acc': 0.89885, 'valid_loss': 2.3137673210144043, 'valid_acc': 0.5444}
{'epoch': 62, 'train_loss': 0.2890611122369766, 'train_acc': 0.904675, 'valid_loss': 2.245350137901306, 'valid_acc': 0.5471}
{'epoch': 63, 'train_loss': 0.2833175440788269, 'train_acc': 0.905725, 'valid_loss': 2.250066244125366, 'valid_acc': 0.5489}
{'epoch': 64, 'train_loss': 0.27096486053466795, 'train_acc': 0.909475, 'valid_loss': 2.3496593147277833, 'valid_acc': 0.5399}
{'epoch': 65, 'train_loss': 0.2783537407875061, 'train_acc': 0.9069, 'valid_loss': 2.2751197036743163, 'valid_acc': 0.5475}
{'epoch': 66, 'train_loss': 0.27109603464603427, 'train_acc': 0.910775, 'valid_loss': 2.3042224061965944, 'valid_acc': 0.5485}
{'epoch': 67, 'train_loss': 0.26993708078861234, 'train_acc': 0.909475, 'valid_loss': 2.2861099365234376, 'valid_acc': 0.5536}
{'epoch': 68, 'train_loss': 0.24538368594646454, 'train_acc': 0.9201750000000001, 'valid_loss': 2.24536306476593, 'valid_acc': 0.5605}
{'epoch': 69, 'train_loss': 0.23181041769981384, 'train_acc': 0.9239, 'valid_loss': 2.3128470651626585, 'valid_acc': 0.5469}
{'epoch': 70, 'train_loss': 0.22421951768398285, 'train_acc': 0.927875, 'valid_loss': 2.4004479946136477, 'valid_acc': 0.5419}
{'epoch': 71, 'train_loss': 0.21883369615077972, 'train_acc': 0.928575, 'valid_loss': 2.3404230667114256, 'valid_acc': 0.5465}
{'epoch': 72, 'train_loss': 0.23442846302986145, 'train_acc': 0.9222750000000001, 'valid_loss': 2.326762006378174, 'valid_acc': 0.5489}
{'epoch': 73, 'train_loss': 0.23421067471504212, 'train_acc': 0.9238500000000001, 'valid_loss': 2.341319780921936, 'valid_acc': 0.5479}
{'epoch': 74, 'train_loss': 0.2181564582824707, 'train_acc': 0.928925, 'valid_loss': 2.3301034881591796, 'valid_acc': 0.5521}
{'epoch': 75, 'train_loss': 0.22251047205924987, 'train_acc': 0.9271, 'valid_loss': 2.3611126022338866, 'valid_acc': 0.5549000000000001}
{'epoch': 76, 'train_loss': 0.21189522140026093, 'train_acc': 0.9311250000000001, 'valid_loss': 2.395659257888794, 'valid_acc': 0.5459}
{'epoch': 77, 'train_loss': 0.1954686888217926, 'train_acc': 0.9364, 'valid_loss': 2.3201390048980715, 'valid_acc': 0.5516}
{'epoch': 78, 'train_loss': 0.1832955077648163, 'train_acc': 0.9407500000000001, 'valid_loss': 2.3611296348571775, 'valid_acc': 0.5482}
